"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H3","ARG","0901","Argentina","BRA","Brazil",2013,"Import",5,83296.618
"H3","ARG","0901","Argentina","BRA","Brazil",2014,"Import",5,58832.831
"H3","ARG","0901","Argentina","BRA","Brazil",2015,"Import",5,71664.444
"H3","ARG","0901","Argentina","BRA","Brazil",2016,"Import",5,50696.691
"H3","ARG","0901","Argentina","BRA","Brazil",2017,"Import",5,67863.553
"H3","ARG","0901","Argentina","BRA","Brazil",2018,"Import",5,62876.13
"H3","ARG","0901","Argentina","BRA","Brazil",2019,"Import",5,54072.907
"H3","ARG","0901","Argentina","BRA","Brazil",2020,"Import",5,48198.462
"H3","ARG","0901","Argentina","BRA","Brazil",2021,"Import",5,63623.177
"H3","ARG","0901","Argentina","BRA","Brazil",2022,"Import",5,129126.847
"H3","ARG","0901","Argentina","BRA","Brazil",2023,"Import",5,110805.943
"H3","ARG","1701","Argentina","ARG","Argentina",2021,"Import",5,0
"H3","ARG","1701","Argentina","BRA","Brazil",2013,"Import",5,16.618
"H3","ARG","1701","Argentina","BRA","Brazil",2014,"Import",5,0.586
"H3","ARG","1701","Argentina","BRA","Brazil",2015,"Import",5,1.212
"H3","ARG","1701","Argentina","BRA","Brazil",2016,"Import",5,0.768
"H3","ARG","1701","Argentina","BRA","Brazil",2017,"Import",5,3.676
"H3","ARG","1701","Argentina","BRA","Brazil",2018,"Import",5,37.332
"H3","ARG","1701","Argentina","BRA","Brazil",2019,"Import",5,3.793
"H3","ARG","1701","Argentina","BRA","Brazil",2020,"Import",5,0.304
"H3","ARG","1701","Argentina","BRA","Brazil",2021,"Import",5,0.576
"H3","ARG","1701","Argentina","BRA","Brazil",2022,"Import",5,2.169
"H3","ARG","1701","Argentina","BRA","Brazil",2023,"Import",5,40.371
"H3","ARG","3105","Argentina","BRA","Brazil",2013,"Import",5,24600.155
"H3","ARG","3105","Argentina","BRA","Brazil",2014,"Import",5,12500.871
"H3","ARG","3105","Argentina","BRA","Brazil",2015,"Import",5,12550.043
"H3","ARG","3105","Argentina","BRA","Brazil",2016,"Import",5,12937.008
"H3","ARG","3105","Argentina","BRA","Brazil",2017,"Import",5,11108.286
"H3","ARG","3105","Argentina","BRA","Brazil",2018,"Import",5,15636.083
"H3","ARG","3105","Argentina","BRA","Brazil",2019,"Import",5,16668.858
"H3","ARG","3105","Argentina","BRA","Brazil",2020,"Import",5,12737.943
"H3","ARG","3105","Argentina","BRA","Brazil",2021,"Import",5,32474.543
"H3","ARG","3105","Argentina","BRA","Brazil",2022,"Import",5,37456.924
"H3","ARG","3105","Argentina","BRA","Brazil",2023,"Import",5,11704.687
"H3","BRA","0901","Brazil","ARG","Argentina",2019,"Import",5,1.994
"H3","BRA","0901","Brazil","BRA","Brazil",2013,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2014,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2015,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2016,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2017,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2018,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2019,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2020,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2021,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2022,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2023,"Import",5,0
"H3","BRA","1701","Brazil","ARG","Argentina",2013,"Import",5,321.955
"H3","BRA","1701","Brazil","ARG","Argentina",2015,"Import",5,65.738
"H3","BRA","1701","Brazil","ARG","Argentina",2017,"Import",5,463.06
"H3","BRA","1701","Brazil","ARG","Argentina",2018,"Import",5,159.787
"H3","BRA","1701","Brazil","ARG","Argentina",2021,"Import",5,5.924
"H3","BRA","1701","Brazil","ARG","Argentina",2023,"Import",5,10.273
"H3","BRA","3105","Brazil","ARG","Argentina",2013,"Import",5,258.05
"H3","BRA","3105","Brazil","ARG","Argentina",2014,"Import",5,1.306
"H3","BRA","3105","Brazil","ARG","Argentina",2015,"Import",5,242.185
"H3","BRA","3105","Brazil","ARG","Argentina",2016,"Import",5,371.157
"H3","BRA","3105","Brazil","ARG","Argentina",2017,"Import",5,1217.25
"H3","BRA","3105","Brazil","ARG","Argentina",2018,"Import",5,2393.358
"H3","BRA","3105","Brazil","ARG","Argentina",2019,"Import",5,3042.718
"H3","BRA","3105","Brazil","ARG","Argentina",2020,"Import",5,956.956
"H3","BRA","3105","Brazil","ARG","Argentina",2021,"Import",5,3264.904
"H3","BRA","3105","Brazil","ARG","Argentina",2022,"Import",5,3690.092
"H3","BRA","3105","Brazil","ARG","Argentina",2023,"Import",5,336.5
"H3","BRA","3105","Brazil","BRA","Brazil",2016,"Import",5,0
"H3","BRA","3105","Brazil","BRA","Brazil",2017,"Import",5,0
"H3","BRA","3105","Brazil","BRA","Brazil",2019,"Import",5,0
"H3","BRA","3105","Brazil","BRA","Brazil",2021,"Import",5,0
"H3","BRA","3105","Brazil","BRA","Brazil",2023,"Import",5,0
